i,t,a,x,rc
1,1,0,4,45
1,2,0,5,49
1,3,0,6,54
1,4,1,7,47
1,5,0,1,56
1,6,0,2,52.5
1,7,0,3,55
1,8,0,4,50.5
1,9,0,5,52
1,10,0,6,42
1,11,1,7,31.5
1,12,0,1,39.5
1,13,0,2,40.5
1,14,0,3,39.5
1,15,1,4,42
1,16,0,1,41.5
1,17,0,2,40
1,18,0,3,35
1,19,0,4,40
1,20,0,5,44
1,21,1,6,45
1,22,0,1,50.5
1,23,0,2,46.5
1,24,0,3,52
1,25,0,4,50
1,26,0,5,48
1,27,0,6,54
1,28,1,7,56
1,29,0,1,51.5
1,30,0,2,44.5
1,31,0,3,41.5
1,32,0,4,54
1,33,0,5,50.5
1,34,0,6,46
1,35,0,7,46
1,36,0,7,38
1,37,0,7,39
1,38,1,7,39
1,39,0,1,35
1,40,0,2,36.5
1,41,1,3,39.5
1,42,0,1,46.5
1,43,0,2,47.5
1,44,0,3,47.5
1,45,0,4,52.5
1,46,0,5,50
1,47,0,6,48
1,48,1,7,50.5
1,49,0,1,52
1,50,0,2,46.5
1,51,0,3,47.5
1,52,0,4,40
1,53,1,5,43
1,54,0,1,47
1,55,0,2,44
1,56,0,3,49
1,57,0,4,57.5
1,58,0,5,51.5
1,59,1,6,46.5
1,60,0,1,50
1,61,0,2,44
1,62,0,3,53
1,63,0,4,50.5
1,64,1,5,48
1,65,0,1,51
1,66,0,2,50.5
1,67,0,3,51
1,68,0,4,62.5
1,69,0,5,58
1,70,1,6,62
1,71,0,1,53
1,72,0,2,52.5
1,73,0,3,55.5
1,74,0,4,48
1,75,0,5,45.5
1,76,0,6,45
1,77,0,7,50
1,78,1,7,47
1,79,0,1,50
1,80,0,2,41.5
1,81,0,3,50
1,82,0,4,43.5
1,83,0,5,36.5
1,84,1,6,46.5
1,85,0,1,49.5
1,86,0,2,50
1,87,0,3,47.5
1,88,0,4,43
1,89,0,5,48.5
1,90,0,6,52
1,91,0,7,58.5
1,92,1,7,54.5
1,93,0,1,54
1,94,0,2,47
1,95,0,3,45.5
1,96,0,4,42.5
1,97,0,5,50.5
1,98,1,6,43.5
1,99,0,1,44.5
1,100,0,2,46
2,1,0,2,45
2,2,0,3,49
2,3,0,4,54
2,4,1,5,47
2,5,0,1,56
2,6,0,2,52.5
2,7,0,3,55
2,8,0,4,50.5
2,9,0,5,52
2,10,1,6,42
2,11,1,1,31.5
2,12,0,1,39.5
2,13,0,2,40.5
2,14,0,3,39.5
2,15,0,4,42
2,16,0,5,41.5
2,17,0,6,40
2,18,1,7,35
2,19,0,1,40
2,20,0,2,44
2,21,0,3,45
2,22,0,4,50.5
